busNo.,岐阜大学病院,柳戸橋,岐阜大学,種類,路線名,option,岐大口,繰舟橋,正木北,正木マーサ前,則武,北高前,忠節,忠節橋,西野町,本郷町,柳ヶ瀬西口,千手堂,徹明町,金宝町,名鉄岐阜,JR岐阜,正木東,さぎ山小学校北,青山中学校南,さぎ山東,自衛隊岐阜地本前,岐阜メモリアルセンター北,長良川国際会議場北口,長良橋北・鵜飼屋,長良橋南・川原町,岐阜公園・岐阜城,大仏南・妙照寺前,本町１丁目（岐阜市）,本町３丁目（岐阜市）,伊奈波通り,市役所・鶯谷高校口,今沢町,商工会議所前,柳ヶ瀬,加納桜道,加納附属小学校前,加納駅前,加納八幡町,茶所,上川手,領下,細畑,いりのと公園前,岐阜女子高前,岐南町三宅,id,baseDayType,operationRule,operatingStartMonth,operatingEndMonth,mayBeArticulatedBus
1,6:45,6:46,6:48,平日,C,,6:50,6:51,6:53,6:56,6:58,6:59,7:00,7:01,7:03,7:04,7:05,7:06,7:09,7:10,7:11,7:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_001,WEEKDAY,NONE,,,FALSE
2,6:57,6:58,7:00,平日,C,連接バス/学休日運休,-,-,-,7:08,7:10,7:11,-,-,7:15,-,-,-,-,-,-,7:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_002,WEEKDAY,SCHOOL_HOLIDAY_EXCLUDED,,,TRUE
3,7:10,7:11,7:13,平日,C,,7:15,7:16,7:18,7:21,7:23,7:24,7:25,7:26,7:29,7:30,7:31,7:32,7:35,7:36,7:37,7:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_003,WEEKDAY,NONE,,,FALSE
4,7:30,7:31,7:33,平日,C,,7:35,7:36,7:38,7:41,7:43,7:45,7:47,7:48,7:51,7:52,7:53,7:55,7:58,7:59,8:00,8:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_004,WEEKDAY,NONE,,,FALSE
5,8:00,8:01,8:03,平日,C,,8:05,8:06,8:08,8:11,8:13,8:15,8:17,8:18,8:22,8:23,8:24,8:25,8:28,8:29,8:30,8:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_005,WEEKDAY,NONE,,,FALSE
6,8:20,8:21,8:23,平日,C,,8:25,8:26,8:28,8:31,8:33,8:35,8:36,8:37,8:39,8:40,8:41,8:42,8:45,8:46,8:47,8:51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_006,WEEKDAY,NONE,,,FALSE
7,8:40,8:41,8:43,平日,C,,8:45,8:46,8:48,8:51,8:53,8:55,8:56,8:57,8:59,9:00,9:01,9:02,9:05,9:06,9:07,9:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_007,WEEKDAY,NONE,,,FALSE
8,8:50,8:51,8:53,平日,C,連接バス,-,-,-,9:01,9:03,9:04,-,-,9:08,-,-,-,-,-,-,9:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_008,WEEKDAY,NONE,,,TRUE
9,9:00,9:01,9:03,平日,C,,9:05,9:06,9:08,9:11,9:13,9:14,9:15,9:16,9:18,9:19,9:20,9:21,9:24,9:25,9:26,9:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_009,WEEKDAY,NONE,,,FALSE
10,9:10,9:11,9:13,平日,C,連接バス/学休日運休,-,-,-,9:21,9:23,9:24,-,-,9:28,-,-,-,-,-,-,9:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,weekday_c_010,WEEKDAY,SCHOOL_HOLIDAY_EXCLUDED,,,TRUE
